"HU_ID","Title","Iteration Path","Modulo Balu","Tester"
"87639","HU_18_GAL_Etiqueta en documentos tipo NIT","368 - GAL","Transversales",""
"88275","307833_HU006_Marcación_de_Cartera_Deteriorada","368 - GAL\Sprint 26","Recaudo y Cartera","Juan Sebastián González Rivera <sebastian.gonzalez@linktic.com>"
"88278","307852_HU004_Documentación_de_Casos","368 - GAL","Recaudo y Cartera",""
"88279","307852_HU007_Analisis_de_Viabilidad","368 - GAL","Recaudo y Cartera",""
"94893","185622_HU001_Gal_reporte general de afiliaciones y Novedades","368 - GAL","Transversales",""
"94895","307862_HU003_Gal_reporte general de recaudo","368 - GAL","Transversales",""
"94896","307862_HU009_Reporte general de cartera","368 - GAL","Transversales",""
"95000","HU_22_GAL_Estandarización Firmas Certificadas para documentos generados en la ARL","368 - GAL","Transversales",""
"98007","HU_01_GAL_Parametrización para subir archivos tipo video y PDF","368 - GAL","Transversales",""
"98010","HU_07_GAL_Publicación videotutoriales usuarios externos","368 - GAL","Transversales",""
"98011","HU_08_GAL_Publicación videotutoriales Funcionarios","368 - GAL","Transversales",""
"98012","HU_09_GAL_Publicación de Instructivos Usuarios externos","368 - GAL","Transversales",""
"98014","HU_10_GAL_Publicación de Instructivos Funcionarios","368 - GAL","Transversales",""
"176888","98041_HU001_radicación_de_retiro_por_parte_del_empleador","368 - GAL","Afiliación y Novedades",""
"178936","98058_HU002_gestión_de_retiros_empleador_por_parte_del_funcionario","368 - GAL","Afiliación y Novedades",""
"180534","98058_HU003_aprobación_de_retiros_empleador_por_parte_del_funcionario","368 - GAL","Afiliación y Novedades",""
"180714","HU_7_GAL_Guardar los archivos TXT cargados","368 - GAL","Recaudo y Cartera",""
"182577","HU_1_GAL_Consolidado y envío de Estados de Cuenta","368 - GAL\Sprint 32","Recaudo y Cartera",""
"182578","HU_2_GAL_Conciliación entre pagos LOG Bancario y datos financieros de la ARL (Back)","368 - GAL\Sprint 34","Recaudo y Cartera",""
"185614","98058_HU001(CC1)_modificación_radicación_de_retiro_por_parte_del_funcionario","368 - GAL","Afiliación y Novedades",""
"186127","HU_14_GAL_Automatizar las solicitudes de corrección de aportes *","368 - GAL","Recaudo y Cartera",""
"186141","307837_HU001_Simulación de información de Incapacidad laboral (Mock en Back)","368 - GAL\Sprint 26","Recaudo y Cartera","Julian Mateo Castellanos Cuervo <julian.castellanos@linktic.com>"
"186143","HU_16_GAL_Implementación de firmas en documentos *","368 - GAL","Recaudo y Cartera",""
"186225","307862_HU001 (CC1)_Reportes Estadísticos Dinámicos","368 - GAL","Recaudo y Cartera",""
"187483","HU_19_GAL_Validaciones en estructura y nombre archivos de cargue Detallada *","368 - GAL","Recaudo y Cartera",""
"189045","83504_HU003_Gestion_Comercial_Radicación_Mercantil","368 - GAL","Afiliación y Novedades",""
